court,year,count
abqb,1990,175
abqb,1991,199
abqb,1992,225
abqb,1993,276
abqb,1994,268
abqb,1995,252
abqb,1996,276
abqb,1997,278
abqb,1998,412
abqb,1999,419
abqb,2000,475
abqb,2001,476
abqb,2002,504
abqb,2003,522
abqb,2004,510
abqb,2005,496
abqb,2006,457
abqb,2007,432
abqb,2008,463
abqb,2009,433
abqb,2010,462
abqb,2011,452
abqb,2012,474
abqb,2013,426
abqb,2014,464
abqb,2015,425
abqb,2016,375
abqb,2017,397
abqb,2018,383
abqb,2019,295
abqb,2020,73
bcsc,1990,170
bcsc,1991,215
bcsc,1992,225
bcsc,1993,199
bcsc,1994,229
bcsc,1995,259
bcsc,1996,246
bcsc,1997,344
bcsc,1998,309
bcsc,1999,251
bcsc,2000,873
bcsc,2001,903
bcsc,2002,922
bcsc,2003,998
bcsc,2004,939
bcsc,2005,1031
bcsc,2006,1114
bcsc,2007,1098
bcsc,2008,1133
bcsc,2009,1163
bcsc,2010,1124
bcsc,2011,1063
bcsc,2012,1154
bcsc,2013,1190
bcsc,2014,1208
bcsc,2015,1029
bcsc,2016,903
bcsc,2017,777
bcsc,2018,583
bcsc,2019,265
bcsc,2020,53
fca,1997,312
fca,1998,351
fca,1999,328
fca,2000,488
fca,2001,438
fca,2002,501
fca,2003,471
fca,2004,436
fca,2005,430
fca,2006,415
fca,2007,404
fca,2008,406
fca,2009,333
fca,2010,319
fca,2011,324
fca,2012,289
fca,2013,257
fca,2014,248
fca,2015,243
fca,2016,279
fca,2017,229
fca,2018,192
fca,2019,236
fca,2020,172
nsca,1990,222
nsca,1991,246
nsca,1992,240
nsca,1993,230
nsca,1994,239
nsca,1995,231
nsca,1996,237
nsca,1997,210
nsca,1998,213
nsca,1999,184
nsca,2000,150
nsca,2001,187
nsca,2002,168
nsca,2003,151
nsca,2004,156
nsca,2005,166
nsca,2006,141
nsca,2007,131
nsca,2008,124
nsca,2009,130
nsca,2010,107
nsca,2011,123
nsca,2012,127
nsca,2013,152
nsca,2014,114
nsca,2015,112
nsca,2016,94
nsca,2017,96
nsca,2018,98
nsca,2019,97
nsca,2020,84
onca,1994,459
onca,1995,426
onca,1996,557
onca,1997,689
onca,1998,810
onca,1999,821
onca,2000,651
onca,2001,640
onca,2002,644
onca,2003,851
onca,2004,996
onca,2005,897
onca,2006,909
onca,2007,901
onca,2008,881
onca,2009,924
onca,2010,883
onca,2011,815
onca,2012,916
onca,2013,771
onca,2014,883
onca,2015,917
onca,2016,987
onca,2017,1003
onca,2018,1050
onca,2019,1025
onca,2020,839
onsc,2003,470
onsc,2004,446
onsc,2005,467
onsc,2006,489
onsc,2007,496
onsc,2008,534
onsc,2009,593
onsc,2010,1177
onsc,2011,1192
onsc,2012,1141
onsc,2013,1127
onsc,2014,1134
onsc,2015,1250
onsc,2016,1068
onsc,2017,904
onsc,2018,704
onsc,2019,371
onsc,2020,79
qccs,2002,615
qccs,2003,626
qccs,2004,574
qccs,2005,512
qccs,2006,856
qccs,2007,861
qccs,2008,858
qccs,2009,934
qccs,2010,948
qccs,2011,910
qccs,2012,977
qccs,2013,872
qccs,2014,910
qccs,2015,891
qccs,2016,957
qccs,2017,821
qccs,2018,626
qccs,2019,375
qccs,2020,145
scc,1990,143
scc,1991,108
scc,1992,109
scc,1993,138
scc,1994,112
scc,1995,108
scc,1996,121
scc,1997,113
scc,1998,91
scc,1999,81
scc,2000,69
scc,2001,94
scc,2002,86
scc,2003,76
scc,2004,83
scc,2005,86
scc,2006,59
scc,2007,54
scc,2008,73
scc,2009,62
scc,2010,67
scc,2011,66
scc,2012,75
scc,2013,75
scc,2014,78
scc,2015,69
scc,2016,57
scc,2017,65
scc,2018,60
scc,2019,68
scc,2020,47
skca,1990,170
skca,1991,131
skca,1992,147
skca,1993,187
skca,1994,203
skca,1995,167
skca,1996,197
skca,1997,129
skca,1998,123
skca,1999,156
skca,2000,150
skca,2001,137
skca,2002,146
skca,2003,135
skca,2004,173
skca,2005,158
skca,2006,148
skca,2007,149
skca,2008,174
skca,2009,148
skca,2010,159
skca,2011,156
skca,2012,132
skca,2013,143
skca,2014,140
skca,2015,149
skca,2016,168
skca,2017,111
skca,2018,104
skca,2019,142
skca,2020,142
